Rank,University,Total,Spring,Winter,CS:GO,Dota 2,FIFA,Hearthstone,League of Legends,Overwatch,Rainbow 6 (USL),Rocket League,Smash (Singles),Smash (Teams),Tekken (UFG),Pubg Mobile,Longitude,Latitude
1,University of Warwick,1623,755,868.0,223,286,33,0,297,203,14,465,40,0,62,0,-1.5604252,52.3793131
2,Staffordshire University,1390,589,801.0,297,55,5,0,114,176,143,226,261,112,1,0,-2.0802228,52.8131677
3,University of Southampton,1374,625,749.0,361,278,13,118,195,98,25,113,123,49,0,1,-1.3949103999999999,50.935203200000004
4,University of Portsmouth,1257,649,608.0,211,73,34,0,174,250,68,358,79,5,4,1,-1.0971748,50.7944026
5,University of Birmingham,1043,472,571.0,47,118,0,135,70,177,1,222,173,84,16,0,-1.9296402,52.45031289999999
6,University of The West of England,966,469,497.0,381,20,53,35,129,167,2,176,2,0,0,1,-2.5487278,51.5014859
7,University of Kent,965,429,536.0,139,71,19,0,273,183,96,156,18,0,0,10,1.0673010859999998,51.29501575
8,University of Leeds,923,379,544.0,92,177,24,53,113,67,126,205,22,30,14,0,-1.5560378380000002,53.806684600000004
9,Durham University,918,460,458.0,125,164,4,20,41,56,0,142,78,288,0,0,-1.5720893999999999,54.7686337
10,University College London,879,433,446.0,9,231,0,80,252,97,62,45,40,62,0,1,-0.13351741,51.524443299999994
11,Loughborough University,866,372,494.0,76,34,0,0,255,33,89,370,9,0,0,0,-1.239681923,52.762782200000004
12,University of York,841,273,568.0,309,31,0,10,60,229,24,65,43,70,0,0,-1.031396458,53.94539029999999
13,University of Bath,835,359,476.0,142,68,0,0,181,42,27,253,42,80,0,0,-2.323423021,51.37658545
14,University of Nottingham,794,372,422.0,21,237,166,0,188,67,2,53,48,0,12,0,-1.200295693,52.93874279999999
15,Newcastle University,783,312,471.0,144,80,106,3,145,35,84,153,5,16,0,12,-1.61452627,54.98023235
16,Lancaster University,781,365,416.0,76,193,0,0,53,98,141,220,0,0,0,0,-2.7875726010000004,54.00975365
17,University of Lincoln,773,328,445.0,71,64,31,0,198,135,59,182,14,0,19,0,-0.548734724,53.22853665
18,University of Surrey,736,409,327.0,156,55,2,0,284,179,17,43,0,0,0,0,-0.590013825,51.24303255
19,Keele University,719,310,409.0,65,10,66,0,126,128,113,192,19,0,0,0,-2.270694219,53.00167560000001
20,Swansea University,709,320,389.0,307,113,40,0,23,0,141,15,54,2,3,11,-3.979344292,51.6091578
21,University of Exeter,669,314,355.0,59,70,0,9,83,199,89,27,95,38,0,0,-3.5364767169999998,50.7369302
22,Bournemouth University,667,260,407.0,198,0,44,0,49,192,18,166,0,0,0,0,-1.894576164,50.742375
23,University of East Anglia,656,310,346.0,163,123,0,0,53,118,38,98,32,31,0,0,1.2411579,52.622251
24,University of Reading,650,313,337.0,146,30,23,0,129,52,28,120,70,19,33,0,-0.9453853999999999,51.4412092
25,Coventry University,646,318,328.0,45,65,3,0,222,136,150,13,11,0,1,0,-1.4997222680000002,52.4056372
26,Brunel University,630,250,380.0,96,5,0,31,146,7,152,134,24,0,35,0,-0.47399356200000003,51.53255315
26,University of Bristol,630,250,380.0,88,103,0,0,182,113,0,72,72,0,0,0,-2.6043359,51.4599701
28,University of Brighton,625,322,303.0,89,0,0,0,137,0,3,141,192,63,0,0,0.265512545,50.75544960000001
29,University of Hertfordshire,617,319,298.0,162,53,0,0,156,23,26,156,41,0,0,0,-0.248371825,51.76164775
30,Nottingham Trent University,596,366,230.0,114,91,39,0,36,22,42,202,0,0,50,0,-1.1547083999999999,52.9577861
31,Kings College London,586,202,384.0,34,274,0,19,109,61,60,18,11,0,0,0,-0.089278598,51.4698444
32,Heriot Watt University,542,214,328.0,107,137,4,0,72,141,11,1,28,0,36,5,-3.323457766,55.91029135
33,Royal Holloway University of London,539,213,326.0,112,65,0,0,102,39,10,114,55,42,0,0,-0.564816712,51.4252783
34,University of Derby,519,214,305.0,90,86,17,0,41,39,198,48,0,0,0,0,-1.497999105,52.9379547
35,University of Sussex,518,234,284.0,13,9,23,42,42,86,39,264,0,0,0,0,-0.087785616,50.8679557
36,University of Cambridge,486,237,249.0,94,57,0,170,32,122,0,11,0,0,0,0,0.119738657,52.199852299999996
37,University of Salford,457,191,266.0,85,0,0,0,47,0,55,268,2,0,0,0,-2.272270839,53.4888266
37,University of Manchester,457,203,254.0,160,0,4,0,167,12,109,1,2,0,0,2,-2.23511867,53.47396245
37,University of St Andrews,457,195,262.0,0,84,0,138,65,59,49,17,45,0,0,0,-2.7930938,56.341198399999996
40,University of Abertay Dundee,447,219,228.0,51,91,0,0,183,66,18,30,0,0,8,0,-2.974529785,56.4632334
41,University of Sunderland,379,182,197.0,37,19,143,0,26,18,39,27,70,0,0,0,-1.3918236000000002,54.9037753
42,Northumbria University,363,133,230.0,67,56,16,1,80,72,33,18,0,0,20,0,-1.432550569,55.0349968
43,Birmingham City University,354,216,138.0,75,2,0,0,1,0,0,100,56,119,1,0,-1.93519118,52.43068395
44,University of Leicester,353,183,170.0,0,181,0,0,76,0,16,9,62,9,0,0,-1.125730143,52.62446355
45,Cardiff University,348,115,233.0,56,16,1,0,125,63,26,61,0,0,0,0,-3.1818794230000003,51.48591805
46,University of Liverpool,322,136,186.0,3,39,18,0,0,0,88,137,37,0,0,0,-2.96580865,53.40730785
47,De Montfort University,320,124,196.0,157,8,18,0,103,0,34,0,0,0,0,0,-1.139843407,52.6300609
48,Sheffield Hallam University,309,147,162.0,0,43,5,0,49,0,99,113,0,0,0,0,-1.4644136680000002,53.38208885
49,Bangor University,270,138,132.0,0,53,41,0,78,39,0,8,51,0,0,0,-4.130231392,53.22986105
50,Imperial College London,261,90,171.0,62,61,0,14,57,7,0,35,25,0,0,0,-0.175607956,51.49887085
51,Aberystwyth University,253,110,143.0,43,3,8,38,38,0,0,11,80,12,20,0,-4.065151999999999,52.4176313
52,Leeds Beckett University,245,116,129.0,103,0,0,0,73,0,0,22,47,0,0,0,-1.548929226,53.80318895
53,University of Chichester,230,102,128.0,64,0,149,0,14,0,0,0,0,0,3,0,-0.774007592,50.84494035
53,University of Glasgow,230,97,133.0,0,76,26,0,13,0,15,6,94,0,0,0,-4.289219113,55.87231535
55,Roehampton University,217,78,139.0,0,21,28,0,145,6,17,0,0,0,0,0,-0.244097819,51.4487292
56,University of Hull,206,81,125.0,55,106,0,0,0,9,0,28,2,0,6,0,-0.36880959999999996,53.769248
57,Oxford University,199,130,69.0,0,28,0,82,0,0,0,89,0,0,0,0,-1.251664602,51.7520849
58,FXU (Falmouth & Exeter Student's Union),197,68,129.0,86,0,0,5,25,22,31,0,16,0,12,0,-5.124864,50.170984999999995
59,Manchester Metropolitan University,188,88,100.0,24,11,0,0,0,64,75,0,0,0,0,14,-2.229793907,53.41188025
60,UCFB (University Campus of Football Business),185,21,164.0,0,0,166,0,4,0,0,15,0,0,0,0,-2.228908,53.78893000000001
61,Middlesex University,177,101,76.0,13,0,0,0,117,9,0,0,32,4,2,0,-0.22963220899999998,51.59029705
62,Glasgow Caledonian University,156,28,128.0,4,30,0,6,0,0,25,0,42,49,0,0,-4.250245389,55.86746635
63,University of Edinburgh,153,73,80.0,0,0,0,0,0,146,1,0,6,0,0,0,-3.188406361,55.944128299999996
64,University of Essex,152,25,127.0,54,48,0,0,0,0,1,49,0,0,0,0,0.9450540000000001,51.879069799999996
65,University of Sheffield,130,48,82.0,0,44,0,0,6,0,0,0,50,30,0,0,-1.4840466,53.3806743
66,Edge Hill University,129,88,41.0,87,0,0,0,11,9,22,0,0,0,0,0,-2.869272463,53.558315799999995
67,University of Plymouth,124,75,49.0,89,0,19,0,0,0,0,12,0,0,4,0,-4.139428,50.376118
68,University of Northampton,114,83,31.0,0,0,0,0,60,0,0,0,54,0,0,0,-0.8812682959999999,52.27403375
69,Edinburgh Napier University,96,50,46.0,0,0,0,0,0,0,0,0,96,0,0,0,-3.2862367999999993,55.9228999
70,University of Huddersfield,81,11,70.0,31,3,0,0,23,14,0,0,0,0,10,0,-1.7787240000000002,53.643714
71,University Of West London,67,67,,34,0,0,1,3,0,7,2,0,0,0,20,-0.302807537,51.5070185
72,University of Greenwich,61,30,31.0,61,0,0,0,0,0,0,0,0,0,0,0,-0.0066531,51.4825423
73,University Of Central Lancashire,59,59,,0,0,0,0,59,0,0,0,0,0,0,0,-2.7087492419999997,53.76340335
74,Wrexham Glyndwr University,58,37,21.0,0,0,0,0,0,0,0,0,58,0,0,0,-3.004820754,53.05373795
75,Queen Mary University of London,57,14,43.0,0,0,0,0,0,0,0,0,43,0,14,0,-0.039310347,51.52472720000001
76,London South Bank University,56,24,32.0,1,0,0,0,7,0,0,0,41,0,7,0,-0.10185926199999999,51.497788
77,Liverpool John Moores University,51,51,,0,0,0,0,0,0,0,51,0,0,0,0,-2.971356938,53.40275735
78,Aston University,45,34,11.0,0,0,0,0,45,0,0,0,0,0,0,0,-1.888499151,52.48620785
79,University of Gloucestershire,39,4,35.0,4,0,0,0,0,0,0,0,35,0,0,0,-2.223608,51.872907
80,Leeds College of Music,36,15,21.0,0,15,0,0,0,0,0,0,19,0,2,0,-1.532903175,53.79752125
81,York St John University,32,32,,0,0,0,0,0,32,0,0,0,0,0,0,-1.080687068,53.96530435
81,Liverpool Hope University,32,0,32.0,0,0,0,0,0,0,0,0,32,0,0,0,-2.968979154,53.412914799999996
83,University Of Chester,30,30,,0,0,0,0,0,0,30,0,0,0,0,0,-2.8911626749721564,53.1857524
84,University of Dundee,18,0,18.0,0,0,18,0,0,0,0,0,0,0,0,0,-2.982148314,56.45796755
85,Anglia Ruskin University,13,2,11.0,0,0,0,0,0,0,0,0,13,0,0,0,-0.251886469,52.56595385
86,Teesside University,10,0,10.0,0,0,0,0,1,0,0,9,0,0,0,0,-1.2350966190000001,54.5703695
87,Kingston University,8,8,,0,0,0,0,0,0,0,0,0,0,0,8,-0.3044737,51.4034848
88,Robert Gordon University,7,7,,0,0,0,0,0,0,0,7,0,0,0,0,-2.139700339,57.1186191
88,University of Stirling,7,7,,0,0,1,0,0,0,0,0,0,0,0,6,-3.9173938039999996,56.145115399999995
88,University of the Arts London,7,0,7.0,0,0,0,0,0,0,0,0,7,0,0,0,-0.116403265,51.517678499999995
91,University of Winchester,6,6,,0,0,0,0,0,0,0,0,6,0,0,0,-1.3329131220000001,51.06273795
92,University of Strathclyde,4,4,,0,0,0,0,0,0,0,0,0,0,0,4,-4.241956566,55.861881200000006
93,Southampton Solent University,3,0,3.0,0,0,0,0,0,0,3,0,0,0,0,0,-1.400167375,50.90827595
93,University of South Wales,3,0,3.0,0,0,0,0,0,0,0,0,3,0,0,0,-2.9906177000000005,51.5860883
95,University of Westminster,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.143305168,51.51689870000001
96,Oxford Brookes University,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.224420734,51.755194
97,Northampton College,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.891177312,52.2406133
98,London School of Economics,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11658840300000001,51.51442905
